time,signal
0.0,-0.31
0.004,-0.31
0.008,-0.31
0.012,-0.31
0.016,-0.31
0.02,-0.3033333333333333
0.024,-0.2866666666666666
0.028,-0.295
0.032,-0.31
0.036000000000000004,-0.2999999999999998
0.04,-0.2783333333333334
0.044,-0.275
0.048,-0.2666666666666666
0.052000000000000005,-0.24666666666666656
0.056,-0.225
0.06,-0.2083333333333333
0.064,-0.22
0.068,-0.1875
0.07200000000000001,-0.15
0.076,-0.15
0.08,-0.1333333333333333
0.084,-0.1016666666666666
0.088,-0.0583333333333333
0.092,-0.06
0.096,-0.0433333333333333
0.1,-0.015
0.10400000000000001,0.01333333333333351
0.108,0.045
0.112,0.0733333333333333
0.116,0.0966666666666666
0.12,0.1483333333333333
0.124,0.2116666666666666
0.128,0.255
0.132,0.2875
0.136,0.345
0.14,0.4100000000000001
0.14400000000000002,0.4600000000000001
0.148,0.465
0.152,0.505
0.156,0.555
0.16,0.5783333333333333
0.164,0.575
0.168,0.5674999999999999
0.17200000000000001,0.5599999999999998
0.176,0.5433333333333333
0.18,0.5
0.184,0.475
0.188,0.4616666666666666
0.192,0.42
0.196,0.365
0.2,0.305
0.20400000000000001,0.27499999999999947
0.20800000000000002,0.20999999999999908
0.212,0.15
0.216,0.11
0.22,0.0816666666666666
0.224,0.0516666666666666
0.228,0.005
0.232,-0.0424999999999999
0.23600000000000002,-0.054999999999999764
0.24,-0.05
0.244,-0.1
0.248,-0.1283333333333333
0.252,-0.1383333333333333
0.256,-0.155
0.26,-0.19
0.264,-0.195
0.268,-0.2025
0.272,-0.215
0.276,-0.2616666666666666
0.28,-0.2916666666666666
0.28400000000000003,-0.288333333333333
0.28800000000000003,-0.2716666666666663
0.292,-0.27
0.296,-0.315
0.3,-0.35
0.304,-0.3366666666666666
0.308,-0.3
0.312,-0.3133333333333333
0.316,-0.3433333333333333
0.32,-0.3383333333333334
0.324,-0.335
0.328,-0.33
0.332,-0.3425
0.336,-0.335
0.34,-0.3333333333333333
0.34400000000000003,-0.3250000000000005
0.34800000000000003,-0.33999999999999997
0.352,-0.3366666666666666
0.356,-0.315
0.36,-0.3133333333333333
0.364,-0.33
0.368,-0.3175
0.372,-0.28
0.376,-0.2766666666666666
0.38,-0.28
0.384,-0.2666666666666666
0.388,-0.2366666666666666
0.392,-0.23
0.396,-0.255
0.4,-0.25
0.404,-0.2283333333333333
0.40800000000000003,-0.21000000000000144
0.41200000000000003,-0.2616666666666676
0.41600000000000004,-0.28166666666666595
0.42,-0.2416666666666666
0.424,-0.235
0.428,-0.26
0.432,-0.2575
0.436,-0.245
0.44,-0.22
0.444,-0.245
0.448,-0.2816666666666667
0.452,-0.285
0.456,-0.255
0.46,-0.26
0.464,-0.3
0.468,-0.29
0.47200000000000003,-0.26000000000000023
0.47600000000000003,-0.2683333333333336
0.48,-0.2783333333333334
0.484,-0.2783333333333333
0.488,-0.2483333333333333
0.492,-0.265
0.496,-0.3183333333333333
0.5,-0.34
0.504,-0.2916666666666666
0.508,-0.295
0.512,-0.335
0.516,-0.345
0.52,-0.3166666666666666
0.524,-0.3266666666666666
0.528,-0.34
0.532,-0.345
0.536,-0.35
0.54,-0.3216666666666666
0.544,-0.345
0.548,-0.3233333333333333
0.552,-0.3066666666666666
0.556,-0.305
0.56,-0.3183333333333333
