time,signal
0.006,-0.46
0.008,-0.46
0.011,-0.46
0.014,-0.46
0.017,-0.46
0.019,-0.46
0.022,-0.455
0.025,-0.455
0.028,-0.44
0.031,-0.435
0.033,-0.43
0.036,-0.445
0.039,-0.44
0.042,-0.435
0.044,-0.425
0.047,-0.415
0.05,-0.43
0.053,-0.435
0.056,-0.47
0.058,-0.455
0.061,-0.415
0.064,-0.425
0.067,-0.44
0.069,-0.445
0.072,-0.435
0.075,-0.435
0.078,-0.425
0.081,-0.42
0.083,-0.43
0.086,-0.44
0.089,-0.46
0.092,-0.435
0.094,-0.435
0.097,-0.415
0.1,-0.425
0.103,-0.435
0.106,-0.435
0.108,-0.435
0.111,-0.415
0.114,-0.41
0.117,-0.43
0.119,-0.435
0.122,-0.45
0.125,-0.43
0.128,-0.405
0.131,-0.41
0.133,-0.415
0.136,-0.425
0.139,-0.44
0.142,-0.43
0.144,-0.415
0.147,-0.415
0.15,-0.415
0.153,-0.435
0.156,-0.435
0.158,-0.43
0.161,-0.415
0.164,-0.405
0.167,-0.41
0.169,-0.44
0.172,-0.44
0.175,-0.425
0.178,-0.41
0.181,-0.41
0.183,-0.415
0.186,-0.425
0.189,-0.435
0.192,-0.43
0.194,-0.42
0.197,-0.4
0.2,-0.41
0.203,-0.425
0.206,-0.43
0.208,-0.43
0.211,-0.41
0.214,-0.405
0.217,-0.405
0.219,-0.415
0.222,-0.43
0.225,-0.435
0.228,-0.425
0.231,-0.395
0.233,-0.4
0.236,-0.405
0.239,-0.415
0.242,-0.41
0.244,-0.405
0.247,-0.395
0.25,-0.405
0.253,-0.415
0.256,-0.415
0.258,-0.415
0.261,-0.395
0.264,-0.395
0.267,-0.39
0.269,-0.4
0.272,-0.405
0.275,-0.4
0.278,-0.4
0.281,-0.385
0.283,-0.385
0.286,-0.405
0.289,-0.4
0.292,-0.385
0.294,-0.37
0.297,-0.345
0.3,-0.355
0.303,-0.355
0.306,-0.355
0.308,-0.34
0.311,-0.32
0.314,-0.295
0.317,-0.305
0.319,-0.32
0.322,-0.32
0.325,-0.31
0.328,-0.28
0.331,-0.275
0.333,-0.285
0.336,-0.3
0.339,-0.305
0.342,-0.305
0.344,-0.29
0.347,-0.275
0.35,-0.285
0.353,-0.305
0.356,-0.325
0.358,-0.32
0.361,-0.335
0.364,-0.335
0.367,-0.36
0.369,-0.365
0.372,-0.365
0.375,-0.36
0.378,-0.35
0.381,-0.355
0.383,-0.37
0.386,-0.355
0.389,-0.37
0.392,-0.355
0.394,-0.355
0.397,-0.355
0.4,-0.35
0.403,-0.355
0.406,-0.36
0.408,-0.36
0.411,-0.35
0.414,-0.335
0.417,-0.33
0.419,-0.335
0.422,-0.345
0.425,-0.33
0.428,-0.31
0.431,-0.31
0.433,-0.305
0.436,-0.335
0.439,-0.375
0.442,-0.4
0.444,-0.415
0.447,-0.42
0.45,-0.39
0.453,-0.35
0.456,-0.2
0.458,0.09
0.461,0.49
0.464,0.96
0.467,1.39
0.469,1.755
0.472,1.99
0.475,2.09
0.478,2.05
0.481,1.72
0.483,1.08
0.486,0.44
0.489,-0.2
0.492,-0.64
0.494,-0.595
0.497,-0.49
0.5,-0.46
0.503,-0.495
0.506,-0.515
0.508,-0.5
0.511,-0.465
0.514,-0.44
0.517,-0.43
0.519,-0.375
0.522,-0.345
0.525,-0.305
0.528,-0.29
0.531,-0.25
0.533,-0.25
0.536,-0.27
0.539,-0.285
0.542,-0.28
0.544,-0.255
0.547,-0.235
0.55,-0.255
0.553,-0.26
0.556,-0.255
0.558,-0.25
0.561,-0.245
0.564,-0.23
0.567,-0.23
0.569,-0.25
0.572,-0.26
0.575,-0.25
0.578,-0.225
0.581,-0.215
0.583,-0.22
0.586,-0.24
0.589,-0.235
0.592,-0.235
0.594,-0.21
0.597,-0.195
0.6,-0.2
0.603,-0.215
0.606,-0.215
0.608,-0.21
0.611,-0.195
0.614,-0.195
0.617,-0.21
0.619,-0.22
0.622,-0.215
0.625,-0.195
0.628,-0.175
0.631,-0.165
0.633,-0.185
0.636,-0.19
0.639,-0.195
0.642,-0.195
0.644,-0.175
0.647,-0.17
0.65,-0.16
0.653,-0.17
0.656,-0.19
0.658,-0.175
0.661,-0.15
0.664,-0.135
0.667,-0.14
0.669,-0.135
0.672,-0.145
0.675,-0.13
0.678,-0.115
0.681,-0.105
0.683,-0.1
0.686,-0.1
0.689,-0.115
0.692,-0.095
0.694,-0.06
0.697,-0.05
0.7,-0.055
0.703,-0.05
0.706,-0.05
0.708,-0.03
0.711,-0.01
0.714,0.0
0.717,0.015
0.719,-0.005
0.722,0.025
0.725,0.035
0.728,0.06
0.731,0.085
0.733,0.105
0.736,0.1
0.739,0.11
0.742,0.13
0.744,0.17
0.747,0.205
0.75,0.215
0.753,0.235
0.756,0.25
0.758,0.285
0.761,0.305
0.764,0.345
0.767,0.36
0.769,0.38
0.772,0.395
0.775,0.435
0.778,0.46
0.781,0.495
0.783,0.515
0.786,0.535
0.789,0.54
0.792,0.58
0.794,0.625
0.797,0.655
0.8,0.67
0.803,0.69
0.806,0.7
0.808,0.73
0.811,0.75
0.814,0.785
0.817,0.805
0.819,0.8
0.822,0.795
0.825,0.805
0.828,0.81
0.831,0.79
0.833,0.76
0.836,0.72
0.839,0.675
0.842,0.63
0.844,0.58
0.847,0.55
0.85,0.48
0.853,0.42
0.856,0.335
0.858,0.285
0.861,0.23
0.864,0.17
0.867,0.105
0.869,0.04
0.872,-0.04
0.875,-0.075
0.878,-0.1
0.881,-0.135
0.883,-0.18
0.886,-0.23
0.889,-0.26
0.892,-0.275
0.894,-0.28
0.897,-0.27
0.9,-0.295
0.903,-0.325
0.906,-0.355
0.908,-0.35
0.911,-0.35
0.914,-0.35
0.917,-0.37
0.919,-0.39
0.922,-0.395
0.925,-0.39
0.928,-0.38
0.931,-0.385
0.933,-0.38
0.936,-0.41
0.939,-0.41
0.942,-0.415
0.944,-0.41
0.947,-0.39
0.95,-0.395
0.953,-0.41
0.956,-0.425
0.958,-0.415
0.961,-0.4
0.964,-0.385
0.967,-0.395
0.969,-0.41
0.972,-0.42
0.975,-0.405
0.978,-0.4
0.981,-0.39
0.983,-0.4
0.986,-0.405
0.989,-0.425
0.992,-0.43
0.994,-0.395
0.997,-0.395
1.0,-0.4
1.003,-0.425
1.006,-0.42
1.008,-0.425
1.011,-0.4
1.014,-0.395
1.017,-0.395
1.019,-0.405
1.022,-0.42
1.025,-0.42
1.028,-0.42
1.031,-0.405
1.033,-0.41
1.036,-0.41
1.039,-0.43
1.042,-0.42
1.044,-0.405
1.047,-0.4
1.05,-0.42
1.053,-0.425
1.056,-0.435
1.058,-0.43
1.061,-0.42
1.064,-0.4
1.067,-0.41
1.069,-0.44
1.072,-0.44
1.075,-0.43
1.078,-0.42
1.081,-0.43
1.083,-0.44
1.086,-0.455
1.089,-0.455
1.092,-0.455
1.094,-0.435
1.097,-0.425
1.1,-0.44
1.103,-0.455
1.106,-0.465
1.108,-0.455
1.111,-0.445
1.114,-0.43
1.117,-0.455
1.119,-0.47
1.122,-0.47
1.125,-0.465
1.128,-0.46
1.131,-0.45
1.133,-0.46
1.136,-0.455
1.139,-0.465
1.142,-0.46
1.144,-0.46
1.147,-0.45
1.15,-0.455
1.153,-0.47
1.156,-0.48
1.158,-0.48
1.161,-0.46
1.164,-0.45
1.167,-0.45
1.169,-0.465
1.172,-0.47
1.175,-0.47
1.178,-0.455
1.181,-0.44
1.183,-0.45
1.186,-0.46
1.189,-0.47
1.192,-0.46
1.194,-0.455
1.197,-0.46
1.2,-0.45
1.203,-0.465
1.206,-0.48
1.208,-0.465
1.211,-0.445
1.214,-0.445
1.217,-0.455
1.219,-0.475
1.222,-0.465
1.225,-0.47
1.228,-0.445
1.231,-0.45
1.233,-0.455
1.236,-0.465
1.239,-0.475
1.242,-0.45
1.244,-0.455
1.247,-0.435
1.25,-0.455
1.253,-0.475
1.256,-0.47
1.258,-0.46
1.261,-0.46
1.264,-0.45
1.267,-0.44
1.269,-0.47
1.272,-0.45
1.275,-0.455
1.278,-0.435
1.281,-0.43
1.283,-0.43
1.286,-0.445
1.289,-0.445
1.292,-0.455
1.294,-0.43
1.297,-0.42
1.3,-0.425
1.303,-0.45
1.306,-0.445
1.308,-0.445
1.311,-0.425
1.314,-0.425
1.317,-0.445
1.319,-0.43
1.322,-0.46
1.325,-0.435
1.328,-0.44
1.331,-0.43
1.333,-0.435
1.336,-0.445
1.339,-0.445
1.342,-0.435
1.344,-0.435
1.347,-0.43
1.35,-0.425
1.353,-0.45
1.356,-0.445
1.358,-0.43
1.361,-0.425
1.364,-0.42
1.367,-0.425
1.369,-0.435
1.372,-0.435
1.375,-0.435
1.378,-0.42
1.381,-0.405
1.383,-0.425
1.386,-0.435
1.389,-0.44
1.392,-0.425
1.394,-0.41
1.397,-0.4
1.4,-0.4
1.403,-0.415
1.406,-0.425
