time,signal
0.0,-0.275
0.004,-0.26
0.008,-0.245
0.012,-0.265
0.016,-0.285
0.02,-0.2735714285714286
0.024,-0.26125
0.028,-0.24625
0.032,-0.23249999999999998
0.036000000000000004,-0.22249999999999998
0.04,-0.20875
0.044,-0.18375000000000002
0.048,-0.165
0.052000000000000005,-0.165
0.056,-0.16214285714285714
0.06,-0.15071428571428572
0.064,-0.1325
0.068,-0.1075
0.07200000000000001,-0.0925
0.076,-0.08750000000000001
0.08,-0.07499999999999998
0.084,-0.05499999999999995
0.088,-0.027499999999999997
0.092,0.007500000000000007
0.096,0.04000000000000003
0.1,0.07000000000000009
0.10400000000000001,0.11071428571428589
0.108,0.16214285714285714
0.112,0.19
0.116,0.21
0.12,0.22999999999999995
0.124,0.25
0.128,0.27375
0.132,0.29875
0.136,0.2975
0.14,0.2874999999999999
0.14400000000000002,0.285
0.148,0.285
0.152,0.265
0.156,0.245
0.16,0.21
0.164,0.175
0.168,0.1499999999999999
0.17200000000000001,0.12499999999999963
0.176,0.07
0.18,0.015
0.184,-0.03
0.188,-0.075
0.192,-0.10357142857142856
0.196,-0.13125
0.2,-0.15625
0.20400000000000001,-0.17875
0.20800000000000002,-0.19375000000000006
0.212,-0.20375
0.216,-0.19875
0.22,-0.19625
0.224,-0.20124999999999998
0.228,-0.1992857142857143
0.232,-0.17642857142857143
0.23600000000000002,-0.17
0.24,-0.18
0.244,-0.185
0.248,-0.185
0.252,-0.185
0.256,-0.185
0.26,-0.1875
0.264,-0.1925
0.268,-0.195
0.272,-0.195
0.276,-0.19125
0.28,-0.18625
0.28400000000000003,-0.17749999999999994
0.28800000000000003,-0.16749999999999987
0.292,-0.1575
0.296,-0.1475
0.3,-0.14125
0.304,-0.13625
0.308,-0.1392857142857143
0.312,-0.145
0.316,-0.15
0.32,-0.155
0.324,-0.16999999999999998
0.328,-0.185
0.332,-0.185
0.336,-0.185
0.34,-0.17499999999999993
0.34400000000000003,-0.16500000000000006
0.34800000000000003,-0.17000000000000007
0.352,-0.175
0.356,-0.15785714285714283
0.36,-0.1475
0.364,-0.1575
0.368,-0.165
0.372,-0.165
0.376,-0.16625
0.38,-0.17124999999999999
0.384,-0.17625
0.388,-0.18125
0.392,-0.18642857142857142
0.396,-0.19214285714285714
0.4,-0.195
0.404,-0.195
0.40800000000000003,-0.18999999999999997
0.41200000000000003,-0.17999999999999988
0.41600000000000004,-0.17249999999999993
0.42,-0.1675
0.424,-0.165
0.428,-0.165
0.432,-0.1675
0.436,-0.1725
0.44,-0.175
0.444,-0.175
0.448,-0.17875
0.452,-0.18375
0.456,-0.1925
0.46,-0.20249999999999999
0.464,-0.20124999999999996
0.468,-0.19624999999999995
0.47200000000000003,-0.19124999999999992
0.47600000000000003,-0.18624999999999992
0.48,-0.17642857142857143
0.484,-0.165
0.488,-0.15000000000000002
0.492,-0.135
0.496,-0.125
0.5,-0.115
0.504,-0.09
0.508,-0.065
0.512,-0.07
0.516,-0.075
0.52,-0.075
0.524,-0.06125
0.528,-0.006249999999999992
0.532,0.03125
0.536,0.01625
0.54,-0.0037500000000000007
0.544,-0.03875000000000001
0.548,-0.0675
0.552,-0.0775
0.556,-0.08785714285714286
0.56,-0.09928571428571428
0.5640000000000001,-0.11750000000000017
0.5680000000000001,-0.14250000000000052
0.5720000000000001,-0.16000000000000028
0.5760000000000001,-0.17000000000000026
0.58,-0.18
0.584,-0.19
0.588,-0.1925
0.592,-0.1875
0.596,-0.1825
0.6,-0.1775
0.604,-0.16642857142857143
0.608,-0.14928571428571427
0.612,-0.14875
0.616,-0.15375
0.62,-0.15875
0.624,-0.16375
0.628,-0.16875
0.632,-0.17375
0.636,-0.175
0.64,-0.175
0.644,-0.16642857142857143
0.648,-0.155
0.652,-0.245
0.656,-0.335
0.66,-0.505
0.664,-0.675
0.668,-0.51
0.672,-0.345
0.676,0.46499999999999997
0.68,1.275
0.684,1.870000000000008
0.6880000000000001,2.4650000000000065
0.6920000000000001,2.7107142857142925
0.6960000000000001,2.758749999999985
0.7000000000000001,2.213749999999985
0.704,1.60375
0.708,0.7987500000000001
0.712,0.155
0.716,-0.0050000000000000044
0.72,-0.12875
0.724,-0.14375
0.728,-0.15785714285714286
0.732,-0.1692857142857143
0.736,-0.185
0.74,-0.205
0.744,-0.22
0.748,-0.22999999999999998
0.752,-0.22999999999999998
0.756,-0.22
0.76,-0.225
0.764,-0.245
0.768,-0.255
0.772,-0.255
0.776,-0.24375
0.78,-0.22875
0.784,-0.225
0.788,-0.225
0.792,-0.21375
0.796,-0.19875
0.8,-0.195
0.804,-0.195
0.808,-0.195
0.812,-0.195
0.8160000000000001,-0.1799999999999998
0.8200000000000001,-0.16500000000000042
0.8240000000000001,-0.18000000000000044
0.8280000000000001,-0.1949999999999996
0.8320000000000001,-0.1799999999999996
0.836,-0.165
0.84,-0.14500000000000002
0.844,-0.125
0.848,-0.11499999999999999
0.852,-0.105
0.856,-0.065
0.86,-0.0325
0.864,-0.0225
0.868,-0.009999999999999998
0.872,0.010000000000000002
0.876,0.0325
0.88,0.0625
0.884,0.08750000000000001
0.888,0.0975
0.892,0.11499999999999999
0.896,0.15499999999999997
0.9,0.19
0.904,0.21999999999999997
0.908,0.245
0.912,0.265
0.916,0.29500000000000004
0.92,0.33499999999999996
0.924,0.365
0.928,0.385
0.932,0.395
0.936,0.395
0.9400000000000001,0.397857142857143
0.9440000000000001,0.40357142857142875
0.9480000000000001,0.36374999999999846
0.9520000000000001,0.30874999999999847
0.9560000000000001,0.2649999999999989
0.96,0.22499999999999998
0.964,0.18875
0.968,0.15375
0.972,0.10749999999999998
0.976,0.057499999999999996
0.98,0.03214285714285714
0.984,0.015
0.988,-0.015
0.992,-0.045
0.996,-0.06
1.0,-0.075
1.004,-0.08
1.008,-0.085
1.012,-0.11000000000000001
1.016,-0.135
1.02,-0.135
1.024,-0.13249999999999973
1.028,-0.12249999999999973
1.032,-0.11374999999999987
1.036,-0.10874999999999986
1.04,-0.10249999999999972
1.044,-0.09249999999999972
1.048,-0.085
1.052,-0.085
1.056,-0.08642857142857158
1.06,-0.09214285714285719
1.064,-0.095
1.068,-0.095
1.072,-0.1
1.076,-0.11
1.08,-0.1125
1.084,-0.1075
1.088,-0.105
1.092,-0.105
1.096,-0.1
1.1,-0.09
1.104,-0.0792857142857142
1.108,-0.06785714285714259
1.112,-0.07250000000000029
1.116,-0.08250000000000028
1.12,-0.08875000000000015
1.124,-0.09375000000000014
1.1280000000000001,-0.08749999999999972
1.1320000000000001,-0.07749999999999972
1.1360000000000001,-0.08625000000000041
