time,signal
0.000,-0.215
0.008,-0.195
0.016,-0.185
0.023,-0.175
0.031,-0.185
0.039,-0.145
0.047,-0.125
0.055,-0.095
0.062,-0.055
0.070,-0.025
0.078,0.025
0.086,0.075
0.094,0.105
0.102,0.155
0.109,0.175
0.117,0.195
0.125,0.215
0.133,0.215
0.141,0.165
0.148,0.105
0.156,0.045
0.164,0.005
0.172,-0.045
0.180,-0.075
0.188,-0.085
0.195,-0.115
0.203,-0.115
0.211,-0.125
0.219,-0.115
0.227,-0.115
0.234,-0.105
0.242,-0.105
0.250,-0.095
0.258,-0.065
0.266,-0.035
0.273,-0.025
0.281,-0.005
0.289,0.035
0.297,0.115
0.305,0.155
0.312,0.155
0.320,0.155
0.328,0.115
0.336,0.065
0.344,0.015
0.352,-0.035
0.359,-0.085
0.367,-0.115
0.375,-0.115
0.383,-0.105
0.391,-0.105
0.398,-0.285
0.406,-0.515
0.414,-0.315
0.422,0.315
0.430,0.835
0.438,0.605
0.445,0.145
0.453,-0.145
0.461,-0.215
0.469,-0.185
0.477,-0.105
0.484,-0.055
0.492,-0.025
0.500,-0.025
0.508,-0.025
0.516,-0.005
0.523,0.005
0.531,0.025
0.539,0.045
0.547,0.055
0.555,0.075
0.562,0.085
0.570,0.125
0.578,0.145
0.586,0.175
0.594,0.195
0.602,0.235
0.609,0.275
0.617,0.325
0.625,0.365
0.633,0.405
0.641,0.435
0.648,0.455
0.656,0.455
0.664,0.455
0.672,0.445
0.680,0.405
0.688,0.365
0.695,0.315
0.703,0.285
0.711,0.235
0.719,0.215
0.727,0.225
0.734,0.215
0.742,0.215
0.750,0.215
0.758,0.235
0.766,0.235
0.773,0.215
0.781,0.215
0.789,0.225
0.797,0.245
0.805,0.285
0.812,0.305
0.820,0.345
0.828,0.355
0.836,0.395
0.844,0.405
0.852,0.425
0.859,0.405
0.867,0.375
0.875,0.355
0.883,0.295
0.891,0.245
0.898,0.205
0.906,0.175
0.914,0.165
0.922,0.195
0.930,0.115
0.938,-0.155
0.945,-0.185
0.953,0.295
0.961,0.935
0.969,0.925
0.977,0.375
0.984,0.065
0.992,0.065
1.000,0.115
1.008,0.145
1.016,0.165
1.023,0.145
1.031,0.165
1.039,0.175
1.047,0.175
1.055,0.175
1.062,0.185
1.070,0.215
1.078,0.225
1.086,0.225
1.094,0.235
1.102,0.265
1.109,0.275
1.117,0.305
1.125,0.325
1.133,0.355
1.141,0.385
1.148,0.415
1.156,0.445
1.164,0.505
1.172,0.535
1.180,0.555
1.188,0.565
1.195,0.575
1.203,0.545
1.211,0.475
1.219,0.415
1.227,0.375
1.234,0.325
1.242,0.305
1.250,0.275
1.258,0.255
1.266,0.245
1.273,0.235
1.281,0.225
1.289,0.235
1.297,0.245
1.305,0.245
1.312,0.255
1.320,0.245
1.328,0.255
1.336,0.285
1.344,0.305
1.352,0.325
1.359,0.345
1.367,0.415
1.375,0.435
1.383,0.435
1.391,0.415
1.398,0.365
1.406,0.345
1.414,0.275
1.422,0.225
1.430,0.155
1.438,0.145
1.445,0.125
1.453,0.115
1.461,0.105
1.469,-0.115
1.477,-0.345
1.484,-0.145
1.492,0.545
1.500,1.035
1.508,0.655
1.516,0.105
1.523,-0.075
1.531,-0.015
1.539,0.055
1.547,0.095
1.555,0.105
1.562,0.105
1.570,0.115
1.578,0.105
1.586,0.105
1.594,0.115
1.602,0.135
1.609,0.145
1.617,0.145
1.625,0.165
1.633,0.185
1.641,0.205
1.648,0.215
1.656,0.225
1.664,0.265
1.672,0.305
1.680,0.335
1.688,0.385
1.695,0.425
1.703,0.455
1.711,0.465
1.719,0.475
1.727,0.505
1.734,0.475
1.742,0.435
1.750,0.375
1.758,0.285
1.766,0.225
1.773,0.165
1.781,0.155
1.789,0.155
1.797,0.135
1.805,0.145
1.812,0.145
1.820,0.145
1.828,0.125
1.836,0.115
1.844,0.115
1.852,0.125
1.859,0.145
1.867,0.185
1.875,0.185
1.883,0.235
1.891,0.255
1.898,0.305
1.906,0.315
1.914,0.325
1.922,0.295
1.930,0.255
1.938,0.225
1.945,0.155
1.953,0.095
1.961,0.005
1.969,-0.005
1.977,-0.015
1.984,-0.015
1.992,-0.015
2.000,-0.295
2.008,-0.455
2.016,-0.205
2.023,0.465
2.031,0.865
2.039,0.475
2.047,-0.035
2.055,-0.195
2.062,-0.175
2.070,-0.095
2.078,-0.035
2.086,-0.015
2.094,-0.035
2.102,-0.035
2.109,-0.015
2.117,0.005
2.125,-0.005
2.133,0.005
2.141,0.015
2.148,0.015
2.156,0.015
2.164,0.045
2.172,0.045
2.180,0.065
2.188,0.105
2.195,0.135
2.203,0.135
2.211,0.175
2.219,0.235
2.227,0.295
2.234,0.325
2.242,0.355
2.250,0.365
2.258,0.365
2.266,0.335
2.273,0.295
2.281,0.225
2.289,0.175
2.297,0.095
2.305,0.045
2.312,0.015
2.320,-0.005
2.328,-0.035
2.336,-0.035
2.344,-0.045
2.352,-0.045
2.359,-0.045
2.367,-0.045
2.375,-0.045
2.383,-0.045
2.391,-0.035
2.398,-0.025
