time,signal
0.000,-0.032
0.004,-0.030
0.008,-0.038
0.012,-0.032
0.016,-0.028
0.020,-0.032
0.024,-0.034
0.028,-0.028
0.032,-0.026
0.036,-0.026
0.040,-0.028
0.044,-0.026
0.048,-0.024
0.052,-0.026
0.056,-0.024
0.060,-0.028
0.064,-0.024
0.068,-0.020
0.072,-0.022
0.076,-0.026
0.080,-0.024
0.084,-0.016
0.088,-0.020
0.092,-0.016
0.096,-0.022
0.100,-0.012
0.104,-0.016
0.108,-0.016
0.112,-0.014
0.116,-0.012
0.120,-0.012
0.124,-0.014
0.128,-0.004
0.132,0.000
0.136,0.004
0.140,0.016
0.144,0.024
0.148,0.038
0.152,0.040
0.156,0.040
0.160,0.042
0.164,0.054
0.168,0.062
0.172,0.064
0.176,0.056
0.180,0.052
0.184,0.054
0.188,0.042
0.192,0.036
0.196,0.038
0.200,0.030
0.204,0.022
0.208,0.012
0.212,0.008
0.216,0.000
0.220,-0.004
0.224,-0.016
0.228,-0.016
0.232,-0.008
0.236,-0.010
0.240,-0.012
0.244,-0.016
0.248,-0.012
0.252,-0.008
0.256,-0.012
0.260,-0.014
0.264,-0.006
0.268,-0.006
0.272,-0.014
0.276,-0.028
0.280,-0.034
0.284,-0.002
0.288,0.068
0.292,0.188
0.296,0.368
0.300,0.574
0.304,0.718
0.308,0.754
0.312,0.666
0.316,0.480
0.320,0.272
0.324,0.038
0.328,-0.108
0.332,-0.136
0.336,-0.116
0.340,-0.086
0.344,-0.066
0.348,-0.040
0.352,-0.024
0.356,-0.016
0.360,-0.024
0.364,-0.024
0.368,-0.024
0.372,-0.022
0.376,-0.024
0.380,-0.020
0.384,-0.016
0.388,-0.014
0.392,-0.008
0.396,-0.006
0.400,-0.002
0.404,0.000
0.408,-0.002
0.412,0.000
0.416,0.006
0.420,0.014
0.424,0.010
0.428,0.016
0.432,0.018
0.436,0.022
0.440,0.018
0.444,0.026
0.448,0.026
0.452,0.032
0.456,0.032
0.460,0.034
0.464,0.044
0.468,0.044
0.472,0.044
0.476,0.048
0.480,0.050
0.484,0.060
0.488,0.058
0.492,0.058
0.496,0.062
0.500,0.068
0.504,0.072
0.508,0.076
0.512,0.072
0.516,0.088
0.520,0.096
0.524,0.096
0.528,0.104
0.532,0.112
0.536,0.120
0.540,0.126
0.544,0.138
0.548,0.146
0.552,0.152
0.556,0.156
0.560,0.166
0.564,0.178
0.568,0.186
0.572,0.184
0.576,0.188
0.580,0.198
0.584,0.204
0.588,0.192
0.592,0.196
0.596,0.188
0.600,0.184
0.604,0.168
0.608,0.144
0.612,0.128
0.616,0.110
0.620,0.080
0.624,0.054
0.628,0.032
0.632,0.010
0.636,-0.010
0.640,-0.024
0.644,-0.044
0.648,-0.054
0.652,-0.056
0.656,-0.064
0.660,-0.072
0.664,-0.076
0.668,-0.078
0.672,-0.080
0.676,-0.082
0.680,-0.082
0.684,-0.080
0.688,-0.088
0.692,-0.082
0.696,-0.084
0.700,-0.080
0.704,-0.076
0.708,-0.080
0.712,-0.074
0.716,-0.072
0.720,-0.068
0.724,-0.066
0.728,-0.064
0.732,-0.054
0.736,-0.054
0.740,-0.054
0.744,-0.056
0.748,-0.048
0.752,-0.044
0.756,-0.044
0.760,-0.048
0.764,-0.040
0.768,-0.034
0.772,-0.038
0.776,-0.040
0.780,-0.034
0.784,-0.038
0.788,-0.036
0.792,-0.036
0.796,-0.032
0.800,-0.034
0.804,-0.032
0.808,-0.036
0.812,-0.034
0.816,-0.032
0.820,-0.032
0.824,-0.036
0.828,-0.032
0.832,-0.036
0.836,-0.034
0.840,-0.032
0.844,-0.028
0.848,-0.026
0.852,-0.032
0.856,-0.028
0.860,-0.032
0.864,-0.032
0.868,-0.024
0.872,-0.028
0.876,-0.032
0.880,-0.028
0.884,-0.024
0.888,-0.024
0.892,-0.020
0.896,-0.020
0.900,-0.020
0.904,-0.020
0.908,-0.024
0.912,-0.022
0.916,-0.016
0.920,-0.018
0.924,-0.016
0.928,-0.016
0.932,-0.016
0.936,-0.012
0.940,-0.016
0.944,-0.022
0.948,-0.012
0.952,-0.012
0.956,-0.012
0.960,-0.012
0.964,-0.008
0.968,-0.008
0.972,-0.010
0.976,0.000
0.980,0.004
0.984,0.018
0.988,0.030
0.992,0.034
0.996,0.034
1.000,0.048
1.004,0.046
1.008,0.056
1.012,0.058
1.016,0.064
1.020,0.054
1.024,0.056
1.028,0.042
1.032,0.040
1.036,0.044
1.040,0.040
1.044,0.024
1.048,0.024
1.052,0.018
1.056,0.004
1.060,-0.002
1.064,0.000
1.068,-0.008
1.072,-0.014
1.076,-0.012
1.080,-0.012
1.084,-0.016
1.088,-0.010
1.092,-0.012
1.096,-0.016
1.100,-0.008
1.104,-0.014
1.108,-0.008
1.112,-0.014
1.116,-0.020
1.120,-0.032
1.124,-0.032
1.128,0.000
1.132,0.088
1.136,0.210
1.140,0.408
1.144,0.600
1.148,0.734
1.152,0.760
1.156,0.624
1.160,0.402
1.164,0.204
1.168,-0.016
1.172,-0.136
1.176,-0.136
1.180,-0.096
1.184,-0.064
1.188,-0.032
1.192,-0.024
1.196,-0.018
1.200,-0.016
1.204,-0.018
1.208,-0.024
1.212,-0.026
1.216,-0.022
1.220,-0.016
1.224,-0.016
1.228,-0.016
1.232,-0.008
1.236,-0.012
1.240,-0.006
1.244,-0.004
1.248,0.000
1.252,0.000
1.256,0.004
1.260,0.006
1.264,0.008
1.268,0.014
1.272,0.018
1.276,0.012
1.280,0.016
1.284,0.022
1.288,0.026
1.292,0.024
1.296,0.034
1.300,0.036
1.304,0.034
1.308,0.038
1.312,0.040
1.316,0.042
1.320,0.050
1.324,0.048
1.328,0.048
1.332,0.056
1.336,0.064
1.340,0.062
1.344,0.064
1.348,0.076
1.352,0.074
1.356,0.078
1.360,0.082
1.364,0.098
1.368,0.098
1.372,0.104
1.376,0.106
1.380,0.118
1.384,0.128
1.388,0.136
1.392,0.140
1.396,0.146
1.400,0.164
1.404,0.166
1.408,0.168
1.412,0.184
1.416,0.184
1.420,0.198
1.424,0.194
1.428,0.198
1.432,0.200
1.436,0.202
1.440,0.198
1.444,0.184
1.448,0.178
1.452,0.160
1.456,0.138
1.460,0.112
1.464,0.088
1.468,0.066
1.472,0.032
1.476,0.018
1.480,0.000
1.484,-0.016
1.488,-0.032
1.492,-0.046
1.496,-0.058
1.500,-0.064
1.504,-0.066
1.508,-0.078
1.512,-0.084
1.516,-0.078
1.520,-0.078
1.524,-0.076
1.528,-0.080
1.532,-0.082
1.536,-0.076
1.540,-0.078
1.544,-0.078
1.548,-0.078
1.552,-0.076
1.556,-0.074
1.560,-0.076
1.564,-0.070
1.568,-0.062
1.572,-0.066
1.576,-0.064
1.580,-0.064
1.584,-0.056
1.588,-0.062
1.592,-0.060
1.596,-0.048
1.600,-0.048
1.604,-0.048
1.608,-0.044
1.612,-0.054
1.616,-0.048
1.620,-0.044
1.624,-0.042
1.628,-0.040
1.632,-0.040
1.636,-0.038
1.640,-0.040
1.644,-0.040
1.648,-0.040
1.652,-0.040
1.656,-0.038
1.660,-0.044
1.664,-0.034
1.668,-0.034
1.672,-0.032
1.676,-0.038
1.680,-0.034
1.684,-0.032
1.688,-0.048
1.692,-0.050
1.696,-0.048
1.700,-0.042
1.704,-0.048
1.708,-0.044
1.712,-0.044
1.716,-0.046
1.720,-0.040
1.724,-0.044
1.728,-0.048
1.732,-0.044
1.736,-0.040
1.740,-0.040
1.744,-0.042
1.748,-0.036
1.752,-0.032
1.756,-0.042
1.760,-0.040
1.764,-0.032
1.768,-0.030
1.772,-0.032
1.776,-0.034
1.780,-0.030
1.784,-0.028
1.788,-0.022
